Name,LocativeName,Region
Авдеевка,Авдеевке,
Акимовка,Акимовке,
Александрия,Александрии,Кировоградская область
Александровка,Александровке,Донецкая область
Александровка,Александровке,Кировоградская область
Александровск,Александровске,Луганская область
Алмазная,Алмазной,
Алчевск,Алчевске,
Амвросиевка,Амвросиевке,
Ананьев,Ананьеве,
Андрушевка,Андрушевке,
Антрацит,Антраците,
Апостолово,Апостолове,
Арбузинка,Арбузинке,
Артемово,Артемове,
Артемовск (Украина),Артемовске,
Арциз,Арцизе,
Ахтырка,Ахтырке,
Балаклея,Балаклее,
Балта,Балте,
Бар,Баре,
Барановка,Барановке,
Барвенково,Барвенкове,
Барышевка,Барышевке,
Батурин,Батурине,
Бахмач,Бахмаче,
Баштанка,Баштанке,
Белая Церковь,Белой Церкви,
Белгород-Днестровский,Белгород-Днестровском,
Белз,Белзе,
Белицкое,Белицком,
Беловодск,Беловодске,
Белогородка,Белогородке,
Белогорье,Белогорье,
Белозерка,Белозерке,
Белозерское,Белозерском,
Белокуракино,Белокуракино,
Белополье,Белополье,
Беляевка,Беляевке,
Бердичев,Бердичеве,
Бердянск,Бердянске,
Берегово,Берегове,
Бережаны,,
Березанка,Березанке,
Березань,Березани,
Березнеговатое,Березнеговатом,
Березно,Березне,
Березовка,Березовке,Одесская область
Берестечко,Берестечке,
Берислав,Бериславе,
Бершадь,Бершади,
Близнюки,,
Бобринец,Бобринце,
Бобрка,Бобрке,
Бобровица,Бобровице,
Богодухов,Богодухове,
Богородчаны,Богородчанах,
Богуслав,Богуславе,
Болград,Болграде,
Болехов,Болехове,
Большая Белозерка,Большой Белозерке,
Борзна,Борзне,
Борислав,Бориславе,
Борисполь,Борисполе,
Бородянка,Бородянке,
Борщев,Борщеве,
Боярка,Боярке,
Братское,Братском,
Бровары,,
Броды,,
Брусилов,Брусилове,
Брянка,Брянке,
Бурштын,Бурштыне,
Бурынь,Бурыни,
Буск,Буске,
Буча,Буче,
Бучач,Бучаче,
Валки,,
Варва,Варве,
Васильевка,Васильевке,
Васильков,Василькове,
Васильковка,Васильковке,
Ватутино,Ватутине,
Вашковцы,Вашковцы,
Великая Александровка,Великой Александровке,
Великая Багачка,Великой Багачке,
Великая Лепетиха,Великой Лепетихе,
Великая Михайловка,Великой Михайловке,
Великая Новоселка,Великой Новоселке,
Великая Писаревка,Великой Писаревке,
Великие Копани,Великих Копанях,
Великие Мосты,Великих Мостах,
Великий Березный,Великом Березном,
Великий Бурлук,Великом Бурлуке,
Верхнеднепровск,Верхнеднепровске,
Верхний Рогачик,Верхнем Рогачике,
Верховина,Верховине,
Верховцево,Верховцеве,
Веселиново,Веселинове,
Веселое,Веселом,
Вижница,Вижнице,
Вилково,Вилкове,
Винники,,
Винница,Виннице,
Виноградов,Виноградове,
Виньковцы,Виньковце,
Вишневое,Вишневом,
Владимир-Волынский,Владимир-Волынском,
Владимирец,Владимирце,
Вознесенск,Вознесенске,Николаевская область
Волноваха,Волновахе,
Воловец,Воловце,
Володарка,Володарке,
Володарск-Волынский,Володарск-Волынском,
Володарское,Володарском,Донецкая область
Волочиск,Волочиске,
Волчанск,Волчанске,Харьковская область
Вольногорск,Вольногорске,
Вольнянск,Вольнянске,
Ворзель,Ворзеле,
Ворожба,Ворожбе,
Врадиевка,Врадиевке,
Высокополье,Высокополье,
Вышгород,Вышгороде,
Гадяч,Гадяче,
Гайворон,Гайвороне,
Гайсин,Гайсине,
Галич,Галиче,Ивано-Франковская область
Геническ,Геническе,
Герца,Герце,
Глиняны,Глиняны,
Глобино,Глобине,
Глухов,Глухове,
Глыбокая,Глыбокой,
Гнедин,Гнедине,
Гнивань,Гнивани,
Голая Пристань,Голой Пристани,
Голованевск,Голованевске,
Горишние Плавни,Горишних Плавнях,
Горловка,Горловке,
Горностаевка,Горностаевке,
Городенка,Городенке,
Городище,Городище,Черкасская область
Городня,Городне,
Городок,Городке,Львовская область
Городок,Городке,Хмельницкая область
Горохов,Горохове,
Гостомель,Гостомели,
Гоща,Гоще,
Гребенка,Гребенке,
Гуляйполе,Гуляйполе,
Гусятин,Гусятине,
Двуречная,Двуречной,
Дебальцево,Дебальцеве,
Демидовка,Демидовке,
Деражня,Деражне,
Дергачи,,
Дзержинск,Дзержинске,Донецкая область
Дзержинск,Дзержинске,Житомирская область
Диканька,Диканьке,
Димитров,Димитрове,
Днепр,Днепре,
Днепродзержинск,Днепродзержинске,
Днепрорудное,Днепрорудном,
Добровеличковка,Добровеличковке,
Добромиль,Добромиле,
Доброполье,Доброполье,
Докучаевск,Докучаевске,
Долина,Долиной,
Долинская,Долинской,
Доманевка,Доманевке,
Донецк,Донецке,
Драбов,Драбове,
Дрогобыч,Дрогобыче,
Дружба,Дружбе,
Дружковка,Дружковке,
Дубляны,,
Дубно,Дубне,
Дубровица,Дубровице,
Дунаевцы,Дунаевцы,
Еланец,Еланце,
Емильчино,Емильчине,
Енакиево,Енакиеве,
Жашков,Жашкове,
Желтые Воды,Желтых Водах,
Жидачов,Жидачове,
Житомир,Житомире,
Жмеринка,Жмеринке,
Жолква,Жолкве,
Залещики,,
Запорожье,Запорожье,
Заречное,Заречном,
Заставна,Заставне,
Зачепиловка,Зачепиловке,
Збараж,Збараже,
Зборов,Зборове,
Звенигородка,Звенигородке,
Згуровка,Згуровке,
Здолбунов,Здолбунове,
Зеленодольск,Зеленодольске,Днепропетровская область
Зеньков,Зенькове,
Змиев,Змиеве,
Знаменка,Знаменке,
Золотоноша,Золотоноше,
Золочев,Золочеве,Львовская область
Золочев,Золочеве,Харьковская область
Зугрэс,Зугрэсе,
Иваничи,Иваничах,
Иванков,Иванкове,
Ивано-Франковск,Ивано-Франковске,
Ивановка,Ивановке,Одесская область
Ивановка,Ивановке,Херсонская область
Измаил,Измаиле,
Изюм,Изюме,
Изяслав,Изяславе,
Ильинцы,Ильинцы,
Ильичевск,Ильичевске,
Ирпень,Ирпени,
Иршава,Иршаве,
Иршанск,Иршанске,
Ичня,Ичне,
Кагарлык,Кагарлыке,
Казанка,Казанке,
Казатин,Казатине,
Каланчак,Каланчаке,
Калиновка,Калиновке,
Калуш,Калуше,
Каменец-Подольский,Каменец-Подольском,
Каменка,Каменке,Черкасская область
Каменка-Бугская,Каменка-Бугской,
Каменка-Днепровская,Каменка-Днепровской,
Камень-Каширский,Камень-Каширском,
Канев,Каневе,
Карловка,Карловке,
Катеринополь,Катеринополе,
Каховка,Каховке,
Кегичевка,Кегичевке,
Кельменцы,Кельменцах,
Киверцы,,
Киев,Киеве,
Килия,Килии,
Кирилловка,Кирилловке,
Кировоград,Кировограде,
Кировск,Кировске,
Кировское,Кировском,Донецкая область
Кицмань,Кицмане,
Кобеляки,Кобеляки,
Ковель,Ковеле,
Кодыма,Кодыме,
Козелец,Козельце,
Козельщина,Козельщине,
Козова,Козовой,
Коломак,Коломаке,
Коломыя,Коломые,
Коминтерновское,Коминтерновском,
Компанеевка,Компанеевке,
Комсомольское,Комсомольском,
Конотоп,Конотопе,
Константиновка,Константиновке,
Копычинцы,,
Корец,Корце,
Короп,Коропе,
Коростень,Коростене,
Коростышев,Коростышеве,
Корсунь-Шевченковский,Корсунь-Шевченковском,
Корюковка,Корюковке,
Косов,Косове,
Костополь,Костополе,
Котельва,Котельве,
Котовск,Котовске,Одесская область
Краматорск,Краматорске,
Красилов,Красилове,
Красноград,Краснограде,
Краснодон,Краснодоне,
Краснокутск,Краснокутске,
Краснополье,Краснополье,Сумская область
Красные Окны,Красных Окнах,
Красный Лиман,Красном Лимане,
Красный Луч,Красном Луче,
Кременец,Кременце,
Кременная,Кременной,
Кременчуг,Кременчуге,
Кривое Озеро,Кривом Озере,
Кривой Рог,Кривом Роге,
Кринички,Криничках,
Кролевец,Кролевце,
Крыжополь,Крыжополе,
Кузнецовск,Кузнецовске,
Куйбышево,Куйбышеве,
Куликовка,Куликовке,
Купянск,Купянске,
Курахово,Курахове,
Ладыжин,Ладыжине,
Лановцы,Лановцах,
Лебедин,Лебедине,
Летичев,Летичеве,
Липовая Долина,Липовой Долиной,
Липовец,Липовце,
Лисичанск,Лисичанске,
Литин,Литине,
Лозовая,Лозовой,
Локачи,Локачи,
Лохвица,Лохвице,
Лубны,,
Луганск,Луганске,
Лугины,Лугинах,
Лутугино,Лутугине,
Луцк,Луцке,
Лысянка,Лысянке,
Львов,Львове,
Любар,Любаре,
Любашевка,Любашевке,
Любешов,Любешове,
Любомль,Любомле,
Люботин,Люботине,
Магдалиновка,Магдалиновке,
Макаров,Макарове,Киевская область
Макеевка,Макеевке,
Малая Виска,Малой Виске,
Малая Даниловка,Малой Даниловке,
Малин,Малине,
Мангуш,Мангуше,
Маневичи,Маневичах,
Маньковка,Маньковке,
Марганец,Марганце,
Мариуполь,Мариуполе,
Марковка,Марковке,
Марьинка,Марьинке,
Машевка,Машевке,
Межгорье,Межгорье,Закарпатская область
Межевая,Межевой,
Мелитополь,Мелитополе,
Меловое,Меловой,
Мена,Мене,
Мерефа,Мерефе,
Миргород,Миргороде,
Мироновка,Мироновке,
Михайловка,Михайловке,Запорожская область
Млинов,Млинове,
Могилев-Подольский,Могилев-Подольском,
Молочанск,Молочанске,
Монастыриска,Монастыриске,
Монастырище,Монастырище,
Моршин,Моршине,
Моспино,Моспине,
Мостиска,Мостиске,
Мукачево,Мукачеве,
Мурованые Куриловцы,Мурованых Куриловцах,
Надворная,Надворной,
Народичи,Народичах,
Недригайлов,Недригайлове,
Нежин,Нежине,
Немиров,Немирове,
Нетешин,Нетешине,
Нижние Серогозы,Нижних Серогозах,
Николаев,Николаеве,
Никополь,Никополе,
Новая Водолага,Новой Водолаге,
Новая Каховка,Новой Каховке,
Новая Одесса,Новой Одессе,
Новая Ушица,Новой Ушице,
Новгород-Северский,Новгород-Северском,
Новгородка,Новгородке,
Новоазовск,Новоазовске,
Новоайдар,Новоайдаре,
Новоархангельск,Новоархангельске,
Нововолынск,Нововолынске,
Нововоронцовка,Нововоронцовке,
Новоград-Волынский,Новоград-Волынском,
Новогродовка,Новогродовке,
Новоднестровск,Новоднестровске,
Новомиргород,Новомиргороде,
Новомосковск,Новомосковске,Днепропетровская область
Новониколаевка,Новониколаевке,
Новопсков,Новопскове,
Новоселица,Новоселице,
Новотроицкое,Новотроицком,
Новоукраинка,Новоукраинке,
Новояворовск,Новояворовске,
Новые Санжары,Новых Санжарах,
Новый Буг,Новом Буге,
Носовка,Носовке,
Обухов,Обухове,
Овидиополь,Овидиополе,
Овруч,Овруче,
Одесса,Одессе,
Олевск,Олевске,
Ольшанка,Ольшанке,
Онуфриевка,Онуфриевке,
Оратов,Оратове,
Орехов,Орехове,
Оржица,Оржице,
Острог,Остроге,
Очаков,Очакове,
Павлоград,Павлограде,
Первомайск,Первомайске,
Первомайский,Первомайском,Харьковская область
Перевальск,Перевальске,
Перегинское,Перегинском,
Перемышляны,,
Перечин,Перечине,
Перещепино,Перещепине,
Переяслав-Хмельницкий,Переяслав-Хмельницком,
Першотравенск,Першотравенске,
Песчанка,Песчанке,
Петриковка,Петриковке,
Петрово,Петрове,
Петровское,Петровском,
Петропавловка,Петропавловке,
Печенеги,Печенегах,
Пирятин,Пирятине,
Погребище,Погребище,
Подволочиск,Подволочиске,
Подгайцы,,
Подгородное,Подгородном,
Подольск,Подольске,Одесская область
Покров,Покров,Днепропетровская область
Покровск,Покровск,Донецкая область
Покровское,Покровском,
Полесское,Полесском,
Пологи,,
Полонное,Полонном,
Полтава,Полтаве,
Поляница,Полянице,
Попасная,Попасной,
Попельня,Попельне,
Почаев,Почаеве,
Приазовское,Приазовском,
Прилуки,,
Приморск,Приморске,Запорожская область
Пустомыты,Пустомытах,
Путивль,Путивле,
Путила,Путиле,
Пятихатки,Пятихатки,
Рава-Русская,Раве-Русской,
Радехов,Радехове,
Радивилов,Радивилове,
Радомышль,Радомышле,
Раздельная,Раздельной,
Ракитное,Ракитное,Киевская область
Ратно,Ратне,
Рахов,Рахове,
Рени,Рени,
Репки,Репках,
Решетиловка,Решетиловке,
Ржищев,Ржищеве,
Ровеньки,,
Ровно,Ровно,
Рогатин,Рогатине,
Родинское,Родинском,
Рожище,Рожище,
Рожнятов,Рожнятове,
Роздол,Роздоле,
Розовка,Розовке,
Рокитное,Рокитном,
Романов,Романове,
Ромны,,
Рубежное,Рубежном,
Рудки,,
Ружин,Ружине,
Саврань,Саврани,
Самбор,Самборе,
Сарата,Саратой,
Сарны,Сарны,
Сахновщина,Сахновщине,
Свалява,Сваляве,
Сватово,Сватове,
Свердловск,Свердловске,
Светловодск,Светловодске,
Светлодарск,Светлодарске,
Святогорск,Святогорске,
Северодонецк,Северодонецке,
Северск,Северске,Донецкая область
Седнев,Седневе,
Селидово,Селидове,
Семеновка,Семеновке,Полтавская область
Семеновка,Семеновке,Черниговская область
Середина-Буда,Серединой-Буде,
Синельниково,Синельникове,
Скадовск,Скадовске,
Скалат,Скалате,
Сквира,Сквире,
Сколе,Сколе,
Славута,Славуте,
Славутич,,
Славяносербск,Славяносербске,
Славянск,Славянске,
Смела,Смеле,
Снежное,Снежном,
Снигиревка,Снигиревке,
Снятын,Снятыне,
Сокаль,Сокале,
Сокиряны,,
Соледар,Соледаре,
Соленое,Соленом,
Сосница,Соснице,
Софиевка,Софиевке,
Сребное,Сребном,
Ставище,Ставище,
Станица Луганская,Станице Луганской,
Старая Выжевка,Старой Выжевке,
Старая Синява,Старой Синяве,
Старобельск,Старобельске,
Старобешево,Старобешеве,
Староконстантинов,Староконстантинове,
Старый Самбор,Старом Самборе,
Стаханов,Стаханове,
Сторожинец,Сторожинце,
Стоянка,Стоянке,
Стрый,Стром,
Сумы,,
Счастье,Счастье,
Таврийск,Таврийске,
Талалаевка,Талалаевке,
Тальное,Тальном,
Тараща,Тараще,
Тарутино,Тарутине,
Татарбунары,,
Тельманово,Тельманове,
Теофиполь,Теофиполе,
Теплик,Теплике,
Теплодар,Теплодаре,
Теребовля,Теребовле,
Терновка,Терновке,
Тернополь,Тернополе,
Тетиев,Тетиеве,
Тлумач,Тлумаче,
Токмак,Токмаке,
Томаковка,Томаковке,
Томашполь,Томашполе,
Торез,Торезе,
Троицкое,Троицком,
Тростянец,Тростянце,Винницкая область
Тростянец,Тростянце,Сумская область
Трускавец,Трускавце,
Тульчин,Тульчине,
Турийск,Турийске,
Турка,Турке,
Тывров,Тыврове,
Тысменица,Тысменице,
Тячев,Тячеве,
Угледар,Угледаре,
Угнев,Угневе,
Ужгород,Ужгороде,
Узин,Узине,
Украинка,Украинке,
Ульяновка,Ульяновке,Кировоградская область
Умань,Умани,
Устилуг,Устилуге,
Устиновка,Устиновке,
Фастов,Фастове,
Фрунзовка,Фрунзовке,
Харцызск,Харцызске,
Харьков,Харькове,
Херсон,Херсоне,
Хмельник,Хмельнике,
Хмельницкий,Хмельницком,
Хорол,Хороле,
Хотин,Хотине,
Христиновка,Христиновке,
Хуст,Хусте,
Хыров,Хырове,
Царичанка,Царичанке,
Цюрупинск,Цюрупинске,
Чабаны,Чабанах,
Чаплинка,Чаплинке,
Чемеровцы,Чемеровцах,
Червоноармейск,Червоноармейске,
Червоноград,Червонограде,
Червонозаводское,Червонозаводском,
Червонопартизанск,Червонопартизанске,
Черкассы,,
Чернигов,Чернигове,
Черниговка,Черниговке,
Чернобай,Чернобае,
Черновцы,Черновцы,
Чернухи,Чернухе,
Черняхов,Черняхове,
Чечельник,Чечельнике,
Чигирин,Чигирине,
Чоп,Чопе,
Чортков,Чорткове,
Чугуев,Чугуеве,
Чуднов,Чуднове,
Чутово,Чутове,
Шаргород,Шаргороде,
Шахтерск,Шахтерске,
Шацк,Шацк,Волынская область
Шевченково,Шевченкове,
Шепетовка,Шепетовке,
Широкое,Широком,
Ширяево,Ширяеве,
Шишаки,,
Шостка,Шостке,
Шпола,Шполе,
Шумск,Шумске,
Щорс,Щорсе,
Энергодар,Энергодаре,
Южноукраинск,Южноукраинске,
Южный,Южный,Одесская область
Юрьевка,Юрьевке,
Яворов,Яворове,
Яготин,Яготине,
Ямполь,Ямполе,Винницкая область
Ямполь,Ямполе,Сумская область
Яремче,Яремче,
Ярмолинцы,Ярмолинцах,
Ясиноватая,Ясиноватой,
